stock_id,estimate_id,maintenance_id,type_id,package_id,price_maintenance
37206,0,36060,6,200,1200
13184,0,30998,1,82,0
26449,0,33947,6,78,0
28914,0,34332,6,200,650
21274,0,34389,6,200,1200
31342,5650662,37811,6,71,0
29813,0,36076,6,78,0
32141,4298165,38778,6,96,0
33875,0,34485,6,78,0
19708,0,32712,6,98,0
21675,0,33046,6,200,650
40757,0,33311,6,200,1350
20015,0,32341,6,71,0
16845,0,31151,3,82,0
22344,0,32681,6,71,0
39569,9949336,38543,6,200,850
37544,0,34981,6,78,0
30318,0,32078,6,200,850
44093,0,34973,6,76,0
39295,0,35548,6,200,1100
41289,0,35791,6,76,0
41493,5755422,36618,6,98,0
42585,0,35269,6,76,0
15998,0,32779,1,200,2149
18156,0,31048,1,82,0
18049,1182711,37647,1,200,2299
100079,0,35723,2,200,499
16733,0,31479,3,82,0
31155,0,34444,6,200,650
31253,0,34123,6,200,750
33365,0,34312,6,76,0
22047,3248882,36522,6,81,0
31559,0,35147,6,200,650
25128,0,33925,6,200,750
18965,0,32364,6,200,1250
35167,0,34705,6,76,0
106339,9138032,38754,6,200,1250
32444,0,33981,6,76,0
42938,0,34504,6,200,1200
35152,0,34798,1,200,1199
28804,0,34545,6,71,0
3944,0,31612,1,200,850
45472,0,35411,3,200,2199
41402,0,32662,6,200,650
20523,0,34677,1,200,2199
29247,0,34168,6,76,0
104381,10150047,38827,6,200,1250
17966,0,31270,3,82,0
25528,0,32388,1,200,949
30599,5830930,36491,6,200,1200
103789,9281192,38089,2,200,659.99
39727,0,33663,6,76,0
109742,10604396,37665,6,76,0
21317,0,33014,6,200,650
22721,0,35960,6,78,0
23001,0,32617,6,71,0
104691,0,35813,6,200,1250
24450,3729811,37629,6,200,850
26796,0,34160,6,76,0
25823,0,32778,6,76,0
14574,0,31463,6,82,0
23536,0,34821,6,200,900
36949,10888453,37638,6,200,1250
29831,6695069,37413,6,76,0
26310,0,32816,6,78,0
31735,0,33077,6,200,750
15599,0,31231,6,82,0
28577,3829348,36484,6,76,0
47448,7259136,37439,1,200,949
26861,3175889,37267,6,78,0
29546,0,35443,6,200,850
29419,0,34629,6,98,0
15123,0,31921,1,200,1699
26597,0,34934,1,200,2299
41627,7457090,38873,1,200,1799
29318,0,35197,3,200,2999
18889,1311474,37047,1,200,949
42119,7194638,38238,6,76,0
19796,0,32430,1,200,2299
27251,3536707,36739,6,78,0
26847,0,34079,6,78,0
43100,0,35894,6,76,0
31714,4499060,38616,6,200,650
23155,0,34211,6,200,1000
44420,6538879,37051,1,200,1799
29289,0,33439,1,200,2149
34222,0,36357,6,200,650
100621,7566958,38041,2,200,549.99
43282,8298693,38023,1,200,1599
23091,0,32622,6,200,750
29481,0,33741,6,71,0
24482,0,33737,6,81,0
34717,0,35068,6,200,650
27667,0,35676,1,76,0
34750,0,34650,6,98,0
23430,0,32589,6,200,750
22585,0,32393,6,78,0
24035,0,35733,6,78,0
42619,7367203,37328,6,200,650
40508,6891569,36644,6,98,0
31169,0,35762,6,200,2199
28213,0,34195,6,200,1250
46749,0,36169,6,76,0
28458,0,33677,6,76,0
26456,0,34406,6,200,900
25915,6386841,36741,6,200,850
30327,0,33835,6,200,1000
41105,6712186,36565,6,76,0
28083,0,33770,6,200,1350
35448,0,35284,6,98,0
32917,4028862,37981,6,200,1800
28944,0,34025,6,76,0
3885,0,31044,1,82,0
37131,5345214,37231,6,200,1200
21131,0,32331,6,76,0
23942,6951731,36903,6,200,1350
33084,0,32541,6,76,0
22599,0,32646,6,76,0
37449,0,34442,6,200,1350
16953,0,31524,1,82,0
34331,0,34690,6,200,1100
44011,8117225,38421,6,78,0
20145,7473360,37650,6,200,900
24497,0,33878,6,200,850
30311,0,35897,6,200,650
30574,0,35917,6,200,900
23143,0,34344,6,200,1200
40786,5965757,36504,6,200,1000
106805,9544996,38204,6,200,850
25833,0,33201,6,71,0
29134,7794294,38026,6,200,1200
16090,0,31778,1,200,1250
28345,5595440,38163,6,78,0
24740,0,32397,6,78,0
23946,0,35618,6,98,0
46961,7381443,38386,6,200,1350
23291,3059962,38712,6,200,1600
32331,0,35053,6,200,750
22531,0,33829,6,200,1350
22156,0,32677,1,200,1699
33464,0,34180,6,98,0
45277,0,36198,6,200,750
34799,0,34648,6,71,0
47286,7136135,37500,6,98,0
28934,0,34919,6,76,0
27918,0,34480,6,98,0
24289,0,33055,6,200,1250
45702,7239818,37317,6,76,0
3645,0,35556,1,200,1699
24463,0,36256,6,78,0
24426,0,33802,6,200,1250
101925,0,35877,6,81,0
18357,0,31474,6,82,0
26919,0,32678,6,200,1350
37945,6157132,37855,6,200,750
18451,0,35146,1,200,2299
46521,7825015,38802,6,71,0
30167,0,33089,6,78,0
13510,0,31585,1,200,850
25296,0,33691,6,71,0
20568,0,31519,3,82,0
25139,0,35569,6,71,0
112866,11003745,37940,6,71,0
44662,7563084,38286,6,98,0
37981,0,33383,6,96,0
25984,4283942,37656,6,76,0
20566,2017475,37613,1,200,1599
19130,0,31473,1,82,0
36109,0,33465,6,200,1800
35035,10022971,37022,6,200,650
44370,0,36352,6,78,0
38503,0,32415,6,98,0
30876,0,34171,6,200,1250
101776,0,36036,6,200,850
44332,7333379,37025,6,76,0
20177,0,31759,6,71,0
24282,0,33134,6,200,1350
17648,0,31848,6,200,1949
107888,0,35173,6,200,1000
4478,0,31350,6,82,0
23283,0,33797,6,200,850
42344,6025761,38413,6,200,900
16976,0,31395,6,82,0
43459,6158766,36790,6,200,650
42687,6879478,37411,6,81,0
22883,0,32849,6,200,1200
24793,3403622,38213,6,71,0
45282,9113422,38541,6,78,0
17577,0,32212,1,200,2149
24758,0,32669,6,200,750
44285,6896136,37524,6,200,850
17467,0,31624,6,76,0
44031,0,36192,6,98,0
22128,0,33999,6,200,1200
28454,0,34310,6,76,0
40674,0,36092,6,200,900
27020,3232091,36965,6,200,1350
18869,0,31385,3,82,0
17235,0,31036,1,82,0
23404,3052243,37574,1,200,949
20163,0,33927,6,200,750
44284,6408641,37288,6,96,0
28363,5623361,37546,6,71,0
22039,0,32504,6,200,1249
101894,0,14,2,200,429
36943,7777866,37735,6,200,1250
19461,0,32264,6,200,1350
47866,7861257,38108,6,200,1250
31967,10066878,38150,6,78,0
40441,0,35186,6,200,1350
41799,0,35651,6,200,850
43802,10137507,38144,6,76,0
21785,0,32489,6,76,0
27706,0,35918,6,200,1350
37112,0,36166,6,81,0
28363,0,33241,6,200,1200
21601,2751515,36615,6,200,1350
14084,0,31620,6,200,1200
42414,6117632,37778,6,200,1000
17799,0,31011,1,82,0
37649,0,35575,6,81,0
43554,8104152,38762,6,78,0
36463,0,34756,6,200,1000
18601,0,31140,4,82,0
25946,0,34794,6,81,0
30133,0,34176,6,200,1200
45134,8034016,37164,1,200,1699
22202,0,32644,1,200,2149
32673,0,36099,1,200,1699
15386,0,31673,1,200,1199
45303,7199784,38658,6,200,1000
42575,0,36196,6,76,0
14571,0,31832,1,200,2199
25681,0,33918,6,71,0
16461,0,36248,6,200,750
48275,0,36316,6,98,0
19113,0,32707,6,96,0
16285,0,31132,3,82,0
13906,0,31837,1,200,2199
26130,0,34228,6,78,0
34736,0,36250,6,78,0
103560,7946341,38000,1,200,2299
24608,0,34352,6,81,0
23957,0,33870,6,200,1000
28887,0,33838,6,200,1200
34532,0,34660,6,78,0
27805,0,33161,6,200,850
17371,0,34127,6,71,0
31478,7382315,36971,6,81,0
15028,0,32018,1,200,2299
18315,0,31738,1,200,2898
24328,0,32797,6,78,0
21979,3106119,37887,6,200,750
17380,0,33764,6,200,1250
33501,0,35114,1,200,2198
27264,0,35752,6,71,0
37978,0,33051,6,200,650
23563,0,35924,6,98,0
36854,0,34550,6,200,850
33238,0,32942,6,200,1799
45790,7567838,37505,6,200,1699
15778,0,33816,1,200,1699
105115,8823179,38207,6,76,0
22518,0,32803,6,200,1350
21747,0,32353,6,78,0
21526,0,32286,6,200,1200
22193,3032629,36447,6,96,0
102412,0,35672,6,71,0
18266,0,34437,6,200,1000
32691,0,36008,6,200,850
19450,0,35729,6,76,0
37184,4703873,37013,6,76,0
19944,0,32056,6,200,1449
40276,5599549,36958,6,200,1350
19198,0,31701,6,200,949
35588,0,34536,6,200,850
30549,0,35633,6,76,0
21465,0,36110,6,200,1350
23924,6917022,38783,1,200,949
37490,0,35780,6,200,1250
48026,7382316,38514,6,76,0
33238,0,34024,6,76,0
33816,6367562,38001,6,200,2299
26136,0,33590,6,200,1350
108815,10001925,38525,6,71,0
14293,0,31421,6,82,0
21850,0,32609,6,200,750
39760,8880160,38731,6,200,850
16331,0,31301,3,82,0
33746,0,34893,6,200,1000
24269,7377124,37519,1,200,1699
45905,7013464,36684,6,71,0
43494,0,34391,6,76,0
26364,0,35163,6,76,0
43741,9117836,38555,6,200,1200
40029,0,36124,3,200,1599
24933,0,34379,6,200,1000
31471,0,35624,6,81,0
42992,0,36246,6,76,0
40454,6934179,37080,6,81,0
18028,0,31843,1,200,1699
21732,0,32010,6,200,1100
18974,0,32185,1,200,1699
16148,0,31462,1,82,0
17353,0,31283,3,82,0
35892,0,36299,6,200,1350
47001,7234091,38234,6,200,750
25985,7095936,36734,6,96,0
39352,5952650,36415,6,200,1250
31665,0,36313,1,200,949
40023,0,35378,6,78,0
41042,8303499,38038,6,78,0
19543,0,32114,1,200,1799
20970,0,33703,1,200,1599
28495,0,34589,6,200,650
38065,0,33609,6,200,650
105322,8765359,37215,6,200,1200
19925,0,31614,3,76,0
40865,0,35557,6,76,0
29093,0,32873,6,78,0
38704,7241893,37366,6,200,750
31234,5531627,36799,6,200,1000
35769,7173176,38346,6,98,0
43845,0,35783,6,96,0
23753,0,32966,6,200,850
100136,0,35235,2,200,499
21838,0,33050,6,78,0
34040,0,34692,6,76,0
105238,0,35239,6,200,850
37850,0,35351,6,200,850
16602,0,31436,1,82,0
43527,11161017,37498,6,96,0
40971,0,35434,6,71,0
28609,5738889,36742,1,200,1699
19733,0,31469,6,82,0
28901,0,35985,6,81,0
22636,0,32696,6,200,1250
47202,7964429,38501,6,76,0
19782,0,31424,3,82,0
18357,0,31475,6,82,0
21180,2769439,36930,6,200,750
32075,5375576,37044,6,81,0
20901,0,35808,6,71,0
15732,0,33708,1,200,1599
28038,0,34049,6,200,750
18959,0,31924,1,200,1599
37178,0,36395,1,200,1699
46594,7589612,37095,6,71,0
30975,0,35486,6,200,650
35234,4442844,36649,6,98,0
19907,0,32282,1,200,1799
27053,0,34474,6,76,0
36275,0,36361,6,200,750
37329,7754137,36622,6,98,0
113873,12106079,36809,4,200,750
21269,0,32359,6,200,750
36479,0,36017,6,200,2299
3240,0,33483,6,200,1350
30096,0,34050,6,98,0
30705,0,34959,6,98,0
21846,0,33188,6,200,1250
41310,6693035,36542,6,76,0
22024,0,31842,6,200,1200
24986,7667655,38141,6,98,0
31217,0,33410,1,200,949
31717,0,33353,6,200,900
30845,0,34514,6,200,1250
43108,9765668,37315,6,81,0
38367,0,33746,6,96,0
14309,0,31934,6,81,0
14091,0,31190,6,82,0
105273,8528584,38307,6,200,650
104092,7935846,37730,6,200,1800
30270,0,35883,6,200,650
46659,0,35136,6,200,850
39801,0,35013,6,76,0
22846,4020281,36825,1,200,2299
28097,0,35345,3,200,1599
30647,6001577,37275,1,200,1699
33693,9991349,38659,6,71,0
41533,7239768,38477,6,71,0
18777,0,31344,3,82,0
16140,0,31274,3,82,0
17813,0,31846,6,76,0
19367,1661422,38687,1,200,2199
46183,7098318,38702,6,200,1100
25166,0,33171,6,78,0
29419,0,32266,6,200,1700
48382,7446763,38737,1,200,2299
106215,0,35923,6,71,0
21749,0,35524,1,200,2299
29804,7019510,36768,6,200,750
18589,0,31576,6,78,0
27988,6899375,36569,6,200,1250
18715,0,31330,3,82,0
14632,0,31297,6,82,0
38212,7359456,38313,6,76,0
28570,0,34652,6,200,850
39810,0,35051,6,200,850
36252,0,35499,6,200,1350
24030,0,35740,6,200,1200
45135,6766361,37443,6,76,0
44389,7823353,38278,6,200,850
36327,0,35205,6,78,0
22255,0,35605,1,200,1799
27826,0,33286,6,200,1250
32195,0,33327,6,78,0
22732,0,33247,6,200,1350
26765,0,35190,6,200,1350
20787,0,33016,6,200,1200
103818,8202620,37140,6,76,0
23844,3086349,36437,6,71,0
45332,7240056,37344,6,200,1100
42515,6786541,37534,6,200,1250
39500,7232762,36712,6,200,650
100488,7827617,38305,2,200,549.99
35904,7328216,36718,6,71,0
19787,0,31740,6,200,1350
46748,7731119,37933,6,71,0
100088,10576391,38776,2,200,660
39453,0,35998,6,98,0
37056,0,34207,6,76,0
113474,11628365,38326,6,200,750
32405,8283216,37106,6,81,0
30297,5942575,36690,1,200,2999
32335,0,33453,3,200,1199
23018,0,33037,6,200,1100
46763,7861031,37301,6,200,1100
28611,0,33524,6,200,1250
3529,0,31619,1,200,2299
107285,0,35511,6,200,750
22516,0,35847,1,200,1699
31426,6851962,38767,6,200,1800
18749,0,33706,1,200,949
14708,0,33676,6,76,0
22367,0,35587,6,200,1000
27025,3183351,38669,6,200,1799
20878,0,34239,6,200,1600
106778,0,38729,2,200,550
17496,0,31016,3,82,0
33670,0,34293,1,200,2299
27685,4234854,36908,6,200,650
25517,0,33008,6,78,0
16117,0,34829,6,200,650
19273,0,31753,1,200,750
42856,6243291,36917,6,200,1250
39883,7060728,36716,6,200,1350
28860,0,36243,6,78,0
36061,0,32191,6,200,1250
45984,7851483,38109,6,200,1200
25286,3789666,37667,1,200,2299
40835,5846401,36375,6,98,0
23737,7519103,36941,6,200,850
103757,8005827,37383,2,200,549.99
42968,0,35850,6,200,1000
45240,7235238,38338,6,200,900
25025,0,34004,6,76,0
33550,0,33282,6,78,0
45255,8940508,37350,6,200,750
45881,7105884,38015,6,200,750
100605,7914389,38805,2,200,550
46635,10214585,38618,6,200,1350
20164,0,31400,3,82,0
27820,7382205,37718,6,78,0
16961,0,32745,6,76,0
29139,6412176,38033,6,200,750
21015,0,35073,6,81,0
43901,6838470,37654,6,200,2149
46648,0,35879,6,200,1250
29018,0,34974,6,76,0
45440,7772686,37091,6,81,0
21863,0,31816,1,200,2149
29716,4911996,37816,1,200,949
38496,0,33251,6,200,1700
4248,0,33795,1,200,1699
19417,0,34891,1,200,949
43291,6304561,36758,6,71,0
19051,6584298,37208,6,76,0
33888,0,34283,6,76,0
41302,0,36128,1,200,2299
46213,9545752,38184,6,71,0
38682,6056950,36916,6,200,900
47466,7434353,36513,6,200,750
17434,0,31268,3,82,0
31621,0,33757,6,200,650
29835,4615472,37384,6,71,0
37013,0,35766,6,98,0
31153,0,34216,6,200,1000
104408,10504697,38634,1,200,2199
31734,0,36270,6,200,850
26119,0,33346,6,200,850
22564,5905644,37499,6,78,0
33864,0,35094,6,76,0
29059,7945321,37922,6,76,0
19601,0,33751,6,200,1200
18569,0,33307,6,200,650
105493,11025863,37489,6,76,0
36255,6042647,37753,6,200,1350
20737,0,32062,6,76,0
39995,0,36168,6,98,0
47310,7653377,38105,6,200,1350
42678,0,33529,3,200,949
25421,0,32370,6,200,750
44693,0,35922,6,200,1200
35467,0,32822,6,200,850
29159,4178346,36919,6,200,1250
18490,0,32280,6,71,0
27153,0,32756,6,78,0
32097,4290100,38281,6,200,1250
41483,0,35627,6,78,0
102406,0,35707,6,200,1250
45108,8057371,38399,6,76,0
14460,0,36247,1,200,2299
16803,0,31763,1,200,2299
38581,0,36170,3,200,1799
23532,0,32654,6,98,0
22985,0,34233,6,71,0
21993,0,35346,6,78,0
24805,0,35660,6,200,1200
23935,0,32156,6,71,0
47408,7517804,37146,6,200,1700
18128,0,31017,4,82,0
102464,7825591,37185,1,200,1799
26478,0,34054,6,200,1350
19348,0,32334,6,78,0
15851,0,31499,6,82,0
37353,0,34284,6,98,0
38883,0,34863,6,76,0
37613,6304668,36652,6,76,0
29090,5839699,38047,6,76,0
25015,0,33923,6,81,0
104174,0,36154,6,200,750
34758,0,36150,6,71,0
27809,0,33486,6,78,0
31503,4234231,38563,6,200,1800
23327,0,33994,6,98,0
16614,0,31404,6,82,0
28082,6128132,37817,6,98,0
41648,6240449,36413,6,200,1000
18670,0,31483,6,82,0
29365,0,35389,6,76,0
21251,0,36211,1,200,1599
25125,7261642,38582,1,200,2199
21219,0,32523,1,200,1599
23572,3663588,36578,6,76,0
32033,0,32773,6,81,0
23302,0,36286,6,200,850
31736,0,36337,1,200,949
42088,6791085,36624,1,200,1799
17757,0,31154,1,82,0
26908,0,33133,6,96,0
102385,7665988,37103,6,96,0
28373,3376469,36585,6,78,0
33817,0,33849,6,78,0
18874,0,31373,3,82,0
23908,0,33280,6,200,1800
101266,0,35409,6,76,0
36082,6589366,37551,6,76,0
41355,0,34415,6,78,0
110728,10452940,36581,6,78,0
31113,0,34039,6,76,0
32131,0,32925,6,76,0
23298,0,34910,6,200,750
45094,6542124,36376,6,78,0
31950,0,34040,6,78,0
41890,6946833,37826,6,200,1250
21350,0,33550,6,200,1350
23752,0,33850,6,200,1250
36070,10286994,38205,6,76,0
18876,0,31875,6,76,0
17609,0,32134,6,78,0
